Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
vitoria,Aitor Cantalapiedra,29.0,7.0,1.77,0,1800000.0,52.0,0.33,-6.0,-2.3,0,0,1,0,0.0456140350877198,0.0020806401969837,14.403297222866392,19,11187,1.0
vitoria,Lucas Braga,28.0,9.0,1.84,835000000,900000.0,60.0,0.79,-9.0,-9.1,0,0,0,1,-0.95438596491228,0.910852570021544,13.710150042306449,19,11187,1.0
vitoria,Romarinho,34.0,11.0,1.76,0,1500000.0,70.0,0.0,-1.0,-1.1,0,0,0,1,5.04561403508772,25.45822099107418,14.22097566607244,19,11187,1.0
vitoria,Renato Kayzer,29.0,11.0,1.76,810000000,1000000.0,77.0,0.93,-6.0,-5.1,0,0,0,1,0.0456140350877198,0.0020806401969837,13.815510557964274,19,11187,1.0
vitoria,Renzo López,31.0,11.0,1.92,0,800000.0,17.0,1.0,-5.0,-2.6,0,0,0,1,2.04561403508772,4.184536780547863,13.592367006650065,19,11187,1.0
internacional,Alan Patrick,34.0,7.0,1.77,2000000,3000000.0,83.0,1.57,5.0,6.7,0,0,1,0,5.04561403508772,25.45822099107418,14.914122846632385,20,9130,1.0
internacional,Alexandro Bernabei,24.0,3.0,1.69,5500000,7000000.0,85.0,1.33,5.0,5.6,0,1,0,0,-4.95438596491228,24.545940289319784,15.761420707019589,20,9130,1.0
internacional,Braian Aguirre,25.0,2.0,1.75,1270000,2500000.0,84.0,1.17,-9.0,2.1,0,1,0,0,-3.95438596491228,15.637168359495226,14.73180128983843,20,9130,1.0
internacional,Bruno Tabata,28.0,8.0,1.75,2200000,2000000.0,49.0,1.25,-2.0,5.0,0,0,1,0,-0.95438596491228,0.910852570021544,14.50865773852422,20,9130,1.0
internacional,Clayton,25.0,4.0,1.87,1200000,1000000.0,80.0,1.33,-2.0,3.2,0,1,0,0,-3.95438596491228,15.637168359495226,13.815510557964274,20,9130,1.0
internacional,Enner Valencia,35.0,11.0,1.78,0,1700000.0,46.0,1.38,-2.0,1.9,0,0,0,1,6.04561403508772,36.549449061249625,14.346138809026444,20,9130,1.0
internacional,Juninho,30.0,4.0,1.85,1500000,800000.0,90.0,0.75,-4.0,1.6,0,1,0,0,1.04561403508772,1.0933087103724235,13.592367006650065,20,9130,1.0
internacional,Rafael Borré,29.0,11.0,1.74,6500000,7000000.0,53.0,1.38,0.0,3.5,0,0,0,1,0.0456140350877198,0.0020806401969837,15.761420707019589,20,9130,1.0
internacional,Ronaldo,28.0,5.0,1.79,0,1000000.0,62.0,1.0,-6.0,1.4,0,1,0,0,-0.95438596491228,0.910852570021544,13.815510557964274,20,9130,1.0
internacional,Sergio Rochet,32.0,1.0,1.9,1450000,3500000.0,84.0,1.75,4.0,4.2,1,0,0,0,3.04561403508772,9.275764850723304,15.068273526459642,20,9130,1.0
internacional,Thiago Maia,28.0,5.0,1.79,4000000,5000000.0,57.0,1.25,5.0,6.8,0,1,0,0,-0.95438596491228,0.910852570021544,15.424948470398377,20,9130,1.0
internacional,Wesley,26.0,9.0,1.75,2000000,9000000.0,69.0,1.28,1.0,4.5,0,0,0,1,-2.95438596491228,8.728396429670665,16.012735135300492,20,9130,1.0
