Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age2,cluster
ceara,Fernando Miguel,40.0,1.0,1.91,0,100000.0,82.0,1.38,0.0,-1.6,1,0,0,0,1600.0,3
ceara,Willian Machado,28.0,4.0,1.86,0,900000.0,89.0,1.3,0.0,-2.2,0,1,0,0,784.0,1
ceara,Éder,30.0,4.0,1.84,0,500000.0,90.0,0.0,-1.0,-0.7,0,1,0,0,900.0,1
ceara,Rafael Ramos,30.0,2.0,1.74,0,500000.0,35.0,1.23,-3.0,0.1,0,1,0,0,900.0,1
ceara,Richardson,34.0,5.0,1.74,0,200000.0,58.0,1.83,0.0,-1.9,0,0,1,0,1156.0,2
ceara,Lucas Lima,25.0,5.0,1.8,475000000,150000.0,13.0,1.33,-2.0,-1.7,0,0,1,0,625.0,2
ceara,Matheus Araújo,23.0,7.0,1.76,0,2000000.0,27.0,1.0,-2.0,-1.7,0,0,1,0,529.0,2
ceara,Lucas Mugni,33.0,7.0,1.84,0,300000.0,60.0,1.44,4.0,0.8,0,0,1,0,1089.0,2
ceara,Fernandinho,28.0,9.0,1.75,0,1000000.0,37.0,1.43,3.0,1.6,0,0,0,1,784.0,0
ceara,Pedro Henrique,35.0,8.0,1.79,0,600000.0,61.0,1.23,-3.0,-2.8,0,0,0,1,1225.0,0
ceara,Aylon,33.0,11.0,1.8,0,300000.0,41.0,0.92,2.0,1.2,0,0,0,1,1089.0,0
corinthians,Hugo Souza,26.0,1.0,1.99,800000000,1000000000.0,90.0,1.13,-5.0,0.0,1,0,0,0,676.0,3
corinthians,André Ramalho,33.0,4.0,1.82,0,2000000.0,89.0,1.33,-2.0,-0.6,0,1,0,0,1089.0,1
corinthians,Gustavo Henrique,32.0,4.0,1.94,0,800000.0,90.0,0.88,-7.0,0.3,0,1,0,0,1024.0,1
corinthians,Matheus Bidu,26.0,3.0,1.72,270000000,2000000.0,73.0,1.23,3.0,3.3,0,1,0,0,676.0,1
corinthians,Hugo,27.0,3.0,1.79,0,1200000.0,51.0,1.33,-2.0,-1.9,0,1,0,0,729.0,1
corinthians,Fabrizio Angileri,31.0,3.0,1.85,0,700000.0,62.0,1.0,-5.0,-1.3,0,1,0,0,961.0,1
corinthians,Matheuzinho,24.0,2.0,1.71,4000000,6000000.0,84.0,1.06,-3.0,0.1,0,1,0,0,576.0,1
corinthians,Raniele,28.0,5.0,1.84,2500000,4000000.0,69.0,1.24,-4.0,2.6,0,0,1,0,784.0,2
corinthians,André Carrillo,34.0,6.0,1.8,0,1000000.0,61.0,1.27,-1.0,3.6,0,0,1,0,1156.0,2
corinthians,Rodrigo Garro,27.0,7.0,1.74,4550000,1400000.0,74.0,1.0,-2.0,1.3,0,0,1,0,729.0,2
corinthians,Vitinho,31.0,9.0,1.8,0,1500000.0,26.0,1.5,1.0,2.2,0,0,0,1,961.0,0
corinthians,Ángel Romero,33.0,8.0,1.76,0,1000000.0,48.0,1.16,-9.0,-2.0,0,0,0,1,1089.0,0
corinthians,Yuri Alberto,24.0,11.0,1.83,0,2200000.0,70.0,1.23,-3.0,0.2,0,0,0,1,576.0,0
cruzeiro,Lucas Villalba,31.0,4.0,1.77,770000000,1800000.0,89.0,1.94,20.0,13.3,0,1,0,0,961.0,1
cruzeiro,Walace,30.0,5.0,1.88,8000000,4500000.0,23.0,2.13,2.0,0.2,0,0,1,0,900.0,2
cruzeiro,Lucas Romero,31.0,5.0,1.67,900000000,2800000.0,85.0,1.95,14.0,11.2,0,0,1,0,961.0,2
cruzeiro,Lucas Silva,32.0,5.0,1.81,0,700000.0,80.0,2.05,17.0,11.0,0,0,1,0,1024.0,2
cruzeiro,Christian,24.0,6.0,1.78,4000000,8000000.0,78.0,2.25,22.0,14.5,0,0,1,0,576.0,2
cruzeiro,Matheus Henrique,27.0,6.0,1.75,6300000,6000000.0,36.0,1.43,-3.0,-3.2,0,0,1,0,729.0,2
cruzeiro,Matheus Pereira,29.0,7.0,1.75,5000000,1100000.0,78.0,2.0,15.0,10.1,0,0,1,0,841.0,2
cruzeiro,Wanderson,30.0,9.0,1.75,2000000,5000000.0,72.0,1.9,17.0,8.0,0,0,0,1,900.0,0
cruzeiro,Yannick Bolasie,36.0,9.0,1.85,0,250000.0,12.0,2.1,2.0,1.4,0,0,0,1,1296.0,0
cruzeiro,Marquinhos,22.0,8.0,1.75,3000000,5500000.0,25.0,1.93,3.0,2.8,0,0,0,1,484.0,0
cruzeiro,Kaio Jorge,23.0,11.0,1.82,7200000,7000000.0,79.0,2.05,21.0,12.6,0,0,0,1,529.0,0
cruzeiro,Gabriel Barbosa,28.0,11.0,1.78,0,6000000.0,30.0,2.0,2.0,1.5,0,0,0,1,784.0,0
flamengo,Agustín Rossi,30.0,1.0,1.93,0,7000000.0,90.0,2.3,35.0,16.1,1,0,0,0,900.0,3
flamengo,Léo Ortiz,29.0,4.0,1.85,7000000,1300000.0,86.0,2.26,31.0,14.0,0,1,0,0,841.0,1
flamengo,Léo Pereira,29.0,4.0,1.89,7000000,8000000.0,87.0,2.26,30.0,14.1,0,1,0,0,841.0,1
flamengo,Danilo,34.0,4.0,1.84,0,3500000.0,62.0,2.29,11.0,4.5,0,1,0,0,1156.0,1
flamengo,Ayrton Lucas,28.0,3.0,1.8,7000000,7000000.0,50.0,2.43,10.0,4.1,0,1,0,0,784.0,1
flamengo,Alex Sandro,34.0,3.0,1.8,0,1800000.0,74.0,2.31,16.0,7.4,0,1,0,0,1156.0,1
flamengo,Guillermo Varela,32.0,2.0,1.73,0,1200000.0,58.0,2.2,19.0,6.9,0,1,0,0,1024.0,1
flamengo,Jorginho,33.0,5.0,1.8,0,6000000.0,84.0,2.38,14.0,4.9,0,0,1,0,1089.0,2
flamengo,Erick Pulgar,31.0,5.0,1.87,2800000,5000000.0,72.0,2.22,12.0,8.4,0,0,1,0,961.0,2
flamengo,Allan,28.0,5.0,1.72,8199999,4000000.0,46.0,2.36,10.0,4.5,0,0,1,0,784.0,2
