Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc
santos,Gustavo Caballero,23.0,9.0,1.86,1300000,600000.0,35.0,1.4,2.0,1.9,0,0,0,1,-5.76923076923077,33.284023668639065,13.304684934198283,15,11587
santos,Benjamín Rollheiser,25.0,8.0,1.72,11000000,8000000.0,71.0,0.95,-11.0,-8.5,0,0,0,1,-3.76923076923077,14.207100591715983,15.89495209964411,15,11587
santos,Tiquinho Soares,34.0,11.0,1.87,3000000,1500000.0,62.0,0.94,-3.0,-0.6,0,0,0,1,5.23076923076923,27.36094674556212,14.22097566607244,15,11587
spfc,Lucas Moura,33.0,8.0,1.72,0,4000000.0,28.0,1.67,2.0,1.8,0,0,0,1,4.23076923076923,17.89940828402366,15.201804919084164,16,12396
spfc,Luciano,32.0,10.0,1.81,0,2000000.0,63.0,1.56,4.0,5.9,0,0,0,1,3.23076923076923,10.437869822485203,14.50865773852422,16,12396
spfc,André Silva,28.0,11.0,1.81,3800000,5000000.0,68.0,1.6,2.0,3.7,0,0,0,1,-0.76923076923077,0.5917159763313622,15.424948470398377,16,12396
spfc,Jonathan Calleri,31.0,11.0,1.81,2900000,2500000.0,40.0,1.0,0.0,1.8,0,0,0,1,2.23076923076923,4.976331360946742,14.73180128983843,16,12396
sport,Rodrigo Atencio,23.0,8.0,1.75,1900000,3000000.0,31.0,0.45,-2.0,-1.3,0,0,0,1,-5.76923076923077,33.284023668639065,14.914122846632385,17,11623
sport,Chrystian Barletta,24.0,8.0,1.78,1200000,1700000.0,60.0,0.53,-13.0,-5.1,0,0,0,1,-4.76923076923077,22.74556213017752,14.346138809026444,17,11623
sport,Romarinho,31.0,8.0,1.68,465000000,1000000.0,17.0,0.33,-2.0,-0.2,0,0,0,1,2.23076923076923,4.976331360946742,13.815510557964274,17,11623
sport,Pablo,33.0,11.0,1.85,0,600000.0,61.0,0.6,-10.0,-7.3,0,0,0,1,4.23076923076923,17.89940828402366,13.304684934198283,17,11623
vasco,Jean Meneses,32.0,9.0,1.63,1300000,2000000.0,1.0,0.0,0.0,0.0,0,0,0,1,3.23076923076923,10.437869822485203,14.50865773852422,18,10871
vasco,David,29.0,9.0,1.79,2500000,1500000.0,50.0,0.75,8.0,1.8,0,0,0,1,0.23076923076922995,0.053254437869822105,14.22097566607244,18,10871
vasco,Loide Augusto,25.0,9.0,1.83,2500000,1200000.0,19.0,1.0,-4.0,-0.9,0,0,0,1,-3.76923076923077,14.207100591715983,13.997832114758229,18,10871
vasco,Adson,24.0,8.0,1.71,5000000,3000000.0,21.0,1.2,-2.0,-0.5,0,0,0,1,-4.76923076923077,22.74556213017752,14.914122846632385,18,10871
vasco,Pablo Vegetti,36.0,11.0,1.87,1000000,750000.0,81.0,0.89,-4.0,-2.2,0,0,0,1,7.23076923076923,52.284023668639044,13.527828485512494,18,10871
vitoria,Lucas Braga,28.0,9.0,1.84,835000000,900000.0,60.0,0.79,-9.0,-9.1,0,0,0,1,-0.76923076923077,0.5917159763313622,13.710150042306449,19,11187
vitoria,Osvaldo,38.0,8.0,1.7,0,150000.0,45.0,1.0,-3.0,-1.1,0,0,0,1,9.23076923076923,85.20710059171596,11.918390573078392,19,11187
vitoria,Romarinho,34.0,11.0,1.76,0,1500000.0,70.0,0.0,-1.0,-1.1,0,0,0,1,5.23076923076923,27.36094674556212,14.22097566607244,19,11187
vitoria,Renato Kayzer,29.0,11.0,1.76,810000000,1000000.0,77.0,0.93,-6.0,-5.1,0,0,0,1,0.23076923076922995,0.053254437869822105,13.815510557964274,19,11187
vitoria,Renzo López,31.0,11.0,1.92,0,800000.0,17.0,1.0,-5.0,-2.6,0,0,0,1,2.23076923076923,4.976331360946742,13.592367006650065,19,11187
bahia,Ademir,30.0,8.0,1.72,2300000,1500000.0,64.0,2.06,6.0,5.8,0,0,0,1,1.23076923076923,1.514792899408282,14.22097566607244,2,19459
internacional,Enner Valencia,35.0,11.0,1.78,0,1700000.0,46.0,1.38,-2.0,1.9,0,0,0,1,6.23076923076923,38.822485207100584,14.346138809026444,20,9130
internacional,Rafael Borré,29.0,11.0,1.74,6500000,7000000.0,53.0,1.38,0.0,3.5,0,0,0,1,0.23076923076922995,0.053254437869822105,15.761420707019589,20,9130
internacional,Wesley,26.0,9.0,1.75,2000000,9000000.0,69.0,1.28,1.0,4.5,0,0,0,1,-2.76923076923077,7.668639053254442,16.012735135300492,20,9130
