Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
palmeiras,Paulinho,25.0,9.0,1.77,18000000,1600000.0,32.0,1.71,-1.0,0.9,1,-3.95438596491228,15.637168359495226,14.28551418721001,14,13482,1.0
palmeiras,Facundo Torres,25.0,9.0,1.77,11500000,1400000.0,67.0,2.29,9.0,7.8,1,-3.95438596491228,15.637168359495226,14.151982794585487,14,13482,1.0
palmeiras,Felipe Anderson,32.0,8.0,1.75,0,4000000.0,56.0,2.5,12.0,7.8,1,3.04561403508772,9.275764850723304,15.201804919084164,14,13482,1.0
palmeiras,Vitor Roque,20.0,11.0,1.74,25500000,2000000.0,58.0,2.17,17.0,10.7,1,-8.95438596491228,80.18102800861803,14.50865773852422,14,13482,1.0
santos,Guilherme,30.0,9.0,1.78,900000000,3000000.0,80.0,1.14,-6.0,-4.7,1,1.04561403508772,1.0933087103724235,14.914122846632385,15,11587,1.0
santos,Gustavo Caballero,23.0,9.0,1.86,1300000,600000.0,35.0,1.4,2.0,1.9,1,-5.95438596491228,35.45471221914435,13.304684934198283,15,11587,0.0
santos,Benjamín Rollheiser,25.0,8.0,1.72,11000000,8000000.0,71.0,0.95,-11.0,-8.5,1,-3.95438596491228,15.637168359495226,15.89495209964411,15,11587,1.0
santos,Tiquinho Soares,34.0,11.0,1.87,3000000,1500000.0,62.0,0.94,-3.0,-0.6,1,5.04561403508772,25.45822099107418,14.22097566607244,15,11587,1.0
spfc,Lucas Moura,33.0,8.0,1.72,0,4000000.0,28.0,1.67,2.0,1.8,1,4.04561403508772,16.366992920898742,15.201804919084164,16,12396,1.0
spfc,Luciano,32.0,10.0,1.81,0,2000000.0,63.0,1.56,4.0,5.9,1,3.04561403508772,9.275764850723304,14.50865773852422,16,12396,1.0
spfc,André Silva,28.0,11.0,1.81,3800000,5000000.0,68.0,1.6,2.0,3.7,1,-0.95438596491228,0.910852570021544,15.424948470398377,16,12396,1.0
spfc,Jonathan Calleri,31.0,11.0,1.81,2900000,2500000.0,40.0,1.0,0.0,1.8,1,2.04561403508772,4.184536780547863,14.73180128983843,16,12396,1.0
sport,Rodrigo Atencio,23.0,8.0,1.75,1900000,3000000.0,31.0,0.45,-2.0,-1.3,1,-5.95438596491228,35.45471221914435,14.914122846632385,17,11623,1.0
sport,Chrystian Barletta,24.0,8.0,1.78,1200000,1700000.0,60.0,0.53,-13.0,-5.1,1,-4.95438596491228,24.545940289319784,14.346138809026444,17,11623,1.0
sport,Romarinho,31.0,8.0,1.68,465000000,1000000.0,17.0,0.33,-2.0,-0.2,1,2.04561403508772,4.184536780547863,13.815510557964274,17,11623,1.0
sport,Pablo,33.0,11.0,1.85,0,600000.0,61.0,0.6,-10.0,-7.3,1,4.04561403508772,16.366992920898742,13.304684934198283,17,11623,0.0
vasco,Jean Meneses,32.0,9.0,1.63,1300000,2000000.0,1.0,0.0,0.0,0.0,1,3.04561403508772,9.275764850723304,14.50865773852422,18,10871,1.0
vasco,David,29.0,9.0,1.79,2500000,1500000.0,50.0,0.75,8.0,1.8,1,0.0456140350877198,0.0020806401969837,14.22097566607244,18,10871,1.0
vasco,Loide Augusto,25.0,9.0,1.83,2500000,1200000.0,19.0,1.0,-4.0,-0.9,1,-3.95438596491228,15.637168359495226,13.997832114758229,18,10871,1.0
vasco,Adson,24.0,8.0,1.71,5000000,3000000.0,21.0,1.2,-2.0,-0.5,1,-4.95438596491228,24.545940289319784,14.914122846632385,18,10871,1.0
vasco,Pablo Vegetti,36.0,11.0,1.87,1000000,750000.0,81.0,0.89,-4.0,-2.2,1,7.04561403508772,49.640677131425065,13.527828485512494,18,10871,1.0
vitoria,Lucas Braga,28.0,9.0,1.84,835000000,900000.0,60.0,0.79,-9.0,-9.1,1,-0.95438596491228,0.910852570021544,13.710150042306449,19,11187,1.0
vitoria,Osvaldo,38.0,8.0,1.7,0,150000.0,45.0,1.0,-3.0,-1.1,1,9.04561403508772,81.82313327177594,11.918390573078392,19,11187,0.0
vitoria,Romarinho,34.0,11.0,1.76,0,1500000.0,70.0,0.0,-1.0,-1.1,1,5.04561403508772,25.45822099107418,14.22097566607244,19,11187,1.0
vitoria,Renato Kayzer,29.0,11.0,1.76,810000000,1000000.0,77.0,0.93,-6.0,-5.1,1,0.0456140350877198,0.0020806401969837,13.815510557964274,19,11187,1.0
vitoria,Renzo López,31.0,11.0,1.92,0,800000.0,17.0,1.0,-5.0,-2.6,1,2.04561403508772,4.184536780547863,13.592367006650065,19,11187,1.0
bahia,Ademir,30.0,8.0,1.72,2300000,1500000.0,64.0,2.06,6.0,5.8,1,1.04561403508772,1.0933087103724235,14.22097566607244,2,19459,2.0
internacional,Enner Valencia,35.0,11.0,1.78,0,1700000.0,46.0,1.38,-2.0,1.9,1,6.04561403508772,36.549449061249625,14.346138809026444,20,9130,1.0
internacional,Rafael Borré,29.0,11.0,1.74,6500000,7000000.0,53.0,1.38,0.0,3.5,1,0.0456140350877198,0.0020806401969837,15.761420707019589,20,9130,1.0
internacional,Wesley,26.0,9.0,1.75,2000000,9000000.0,69.0,1.28,1.0,4.5,1,-2.95438596491228,8.728396429670665,16.012735135300492,20,9130,1.0
