Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_DEF,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
fluminense,Samuel Xavier,35.0,2.0,1.66,0,300000.0,82.0,1.64,-1.0,2.0,1,6.04561403508772,36.549449061249625,12.611537753638338,9,16138,0.0
fortaleza,Benjamín Kuscevic,29.0,4.0,1.86,960000000,2000000.0,89.0,0.88,-10.0,-8.4,1,0.0456140350877198,0.0020806401969837,14.50865773852422,10,14121,2.0
fortaleza,Weverson,25.0,3.0,1.85,0,1500000.0,66.0,0.0,-6.0,-0.7,1,-3.95438596491228,15.637168359495226,14.22097566607244,10,14121,0.0
fortaleza,Diogo Barbosa,33.0,3.0,1.79,0,350000.0,65.0,0.9,0.0,-3.3,1,4.04561403508772,16.366992920898742,12.765688433465597,10,14121,0.0
fortaleza,Bruno Pacheco,33.0,3.0,1.75,350000000,300000.0,81.0,0.4,-3.0,0.0,1,4.04561403508772,16.366992920898742,12.611537753638338,10,14121,0.0
fortaleza,Eros Mancuso,26.0,2.0,1.71,1470000,4000000.0,66.0,0.46,-10.0,-2.7,1,-2.95438596491228,8.728396429670665,15.201804919084164,10,14121,2.0
gremio,Rodrigo Ely,31.0,4.0,1.88,1500000,2000000.0,20.0,1.5,-1.0,-1.3,1,2.04561403508772,4.184536780547863,14.50865773852422,11,13966,1.0
gremio,Fabián Balbuena,34.0,4.0,1.89,0,2000000.0,75.0,1.33,1.0,0.7,1,5.04561403508772,25.45822099107418,14.50865773852422,11,13966,1.0
gremio,Jemerson,33.0,4.0,1.84,700000000,1000000.0,86.0,1.0,-5.0,-5.1,1,4.04561403508772,16.366992920898742,13.815510557964274,11,13966,0.0
gremio,Walter Kannemann,34.0,4.0,1.84,905000000,600000.0,87.0,1.73,3.0,-0.5,1,5.04561403508772,25.45822099107418,13.304684934198283,11,13966,0.0
gremio,Lucas Esteves,25.0,3.0,1.71,950000000,1800000.0,85.0,0.5,-9.0,-5.5,1,-3.95438596491228,15.637168359495226,14.403297222866392,11,13966,1.0
gremio,João Pedro,28.0,2.0,1.79,0,3000000.0,64.0,0.67,-6.0,-3.7,1,-0.95438596491228,0.910852570021544,14.914122846632385,11,13966,1.0
gremio,Marcos Rocha,36.0,2.0,1.76,0,300000.0,90.0,1.0,0.0,0.2,1,7.04561403508772,49.640677131425065,12.611537753638338,11,13966,0.0
juventude,Wilker Ángel,32.0,4.0,1.9,0,200000.0,81.0,0.92,-13.0,-12.3,1,3.04561403508772,9.275764850723304,12.206072645530174,12,14238,0.0
juventude,Alan Ruschel,36.0,3.0,1.76,0,150000.0,64.0,1.0,-10.0,-9.8,1,7.04561403508772,49.640677131425065,11.918390573078392,12,14238,0.0
juventude,Reginaldo,32.0,2.0,1.74,0,200000.0,66.0,1.31,-10.0,-10.1,1,3.04561403508772,9.275764850723304,12.206072645530174,12,14238,0.0
mirassol,João Victor,27.0,4.0,1.88,426000000,500000.0,90.0,1.69,9.0,3.7,1,-1.95438596491228,3.819624499846104,13.122363377404328,13,12830,0.0
mirassol,Reinaldo,35.0,3.0,1.78,0,400000.0,86.0,1.61,10.0,4.7,1,6.04561403508772,36.549449061249625,12.89921982609012,13,12830,0.0
mirassol,Lucas Ramon,31.0,2.0,1.78,0,400000.0,84.0,1.53,5.0,4.6,1,2.04561403508772,4.184536780547863,12.89921982609012,13,12830,0.0
mirassol,Daniel Borges,32.0,2.0,1.74,0,350000.0,45.0,2.0,7.0,-1.2,1,3.04561403508772,9.275764850723304,12.765688433465597,13,12830,0.0
palmeiras,Micael,25.0,4.0,1.83,4800000,5000000.0,90.0,2.22,6.0,4.0,1,-3.95438596491228,15.637168359495226,15.424948470398377,14,13482,1.0
palmeiras,Joaquín Piquerez,27.0,3.0,1.84,3200000,1400000.0,84.0,2.17,12.0,9.9,1,-1.95438596491228,3.819624499846104,14.151982794585487,14,13482,1.0
palmeiras,Jefté,21.0,3.0,1.83,7000000,4000000.0,1.0,3.0,0.0,0.0,1,-7.95438596491228,63.27225607879347,15.201804919084164,14,13482,1.0
palmeiras,Khellven,24.0,2.0,1.76,6000000,5000000.0,55.0,3.0,4.0,1.9,1,-4.95438596491228,24.545940289319784,15.424948470398377,14,13482,1.0
santos,Gil,38.0,4.0,1.92,0,200000.0,90.0,1.11,0.0,-0.1,1,9.04561403508772,81.82313327177594,12.206072645530174,15,11587,0.0
santos,Gonzalo Escobar,28.0,3.0,1.71,0,1000000.0,71.0,0.95,-10.0,-4.3,1,-0.95438596491228,0.910852570021544,13.815510557964274,15,11587,1.0
santos,Mayke,32.0,2.0,1.78,0,2500000.0,75.0,1.5,-6.0,-1.6,1,3.04561403508772,9.275764850723304,14.73180128983843,15,11587,1.0
spfc,Alan Franco,28.0,4.0,1.83,285000000,4500000.0,81.0,1.25,-2.0,4.3,1,-0.95438596491228,0.910852570021544,15.319587954740548,16,12396,1.0
spfc,Nahuel Ferraresi,26.0,4.0,1.9,4300000,3000000.0,77.0,1.76,11.0,9.0,1,-2.95438596491228,8.728396429670665,14.914122846632385,16,12396,1.0
spfc,Robert Arboleda,33.0,4.0,1.89,1800000,800000.0,90.0,1.46,0.0,1.6,1,4.04561403508772,16.366992920898742,13.592367006650065,16,12396,1.0
spfc,Wendell,32.0,3.0,1.76,0,3500000.0,56.0,1.27,3.0,1.7,1,3.04561403508772,9.275764850723304,15.068273526459642,16,12396,1.0
sport,João Silva,26.0,4.0,1.89,0,1500000.0,72.0,0.6,-11.0,-7.4,1,-2.95438596491228,8.728396429670665,14.22097566607244,17,11623,1.0
sport,Rafael Thyere,32.0,4.0,1.9,0,400000.0,90.0,0.88,-5.0,-2.2,1,3.04561403508772,9.275764850723304,12.89921982609012,17,11623,0.0
sport,Matheus Alexandre,26.0,2.0,1.88,1460000,1500000.0,75.0,0.67,-10.0,-4.9,1,-2.95438596491228,8.728396429670665,14.22097566607244,17,11623,1.0
vasco,Mauricio Lemos,29.0,4.0,1.87,0,2500000.0,61.0,1.75,-1.0,-1.3,1,0.0456140350877198,0.0020806401969837,14.73180128983843,18,10871,1.0
vasco,Lucas Oliveira,29.0,4.0,1.87,0,1400000.0,16.0,3.0,0.0,0.0,1,0.0456140350877198,0.0020806401969837,14.151982794585487,18,10871,1.0
vasco,Lucas Freitas,24.0,4.0,1.84,0,1000000.0,78.0,0.81,-2.0,-0.1,1,-4.95438596491228,24.545940289319784,13.815510557964274,18,10871,1.0
vasco,Lucas Piton,24.0,3.0,1.75,3000000,8000000.0,90.0,1.0,0.0,-3.2,1,-4.95438596491228,24.545940289319784,15.89495209964411,18,10871,1.0
vasco,Victor Luís,32.0,3.0,1.77,0,450000.0,32.0,0.5,-2.0,-0.5,1,3.04561403508772,9.275764850723304,13.017002861746503,18,10871,0.0
vasco,Paulo Henrique,29.0,2.0,1.75,900000000,2500000.0,88.0,1.27,7.0,-0.5,1,0.0456140350877198,0.0020806401969837,14.73180128983843,18,10871,1.0
vitoria,Zé Marcos,27.0,4.0,1.88,0,900000.0,87.0,0.88,-12.0,-12.8,1,-1.95438596491228,3.819624499846104,13.710150042306449,19,11187,1.0
vitoria,Claudinho,24.0,2.0,1.8,800000000,2000000.0,72.0,0.83,-4.0,-2.5,1,-4.95438596491228,24.545940289319784,14.50865773852422,19,11187,1.0
internacional,Alexandro Bernabei,24.0,3.0,1.69,5500000,7000000.0,85.0,1.33,5.0,5.6,1,-4.95438596491228,24.545940289319784,15.761420707019589,20,9130,1.0
internacional,Braian Aguirre,25.0,2.0,1.75,1270000,2500000.0,84.0,1.17,-9.0,2.1,1,-3.95438596491228,15.637168359495226,14.73180128983843,20,9130,1.0
internacional,Clayton,25.0,4.0,1.87,1200000,1000000.0,80.0,1.33,-2.0,3.2,1,-3.95438596491228,15.637168359495226,13.815510557964274,20,9130,1.0
internacional,Gabriel Mercado,38.0,4.0,1.8,0,200000.0,90.0,0.0,-1.0,1.0,1,9.04561403508772,81.82313327177594,12.206072645530174,20,9130,0.0
internacional,Juninho,30.0,4.0,1.85,1500000,800000.0,90.0,0.75,-4.0,1.6,1,1.04561403508772,1.0933087103724235,13.592367006650065,20,9130,1.0
internacional,Ronaldo,28.0,5.0,1.79,0,1000000.0,62.0,1.0,-6.0,1.4,1,-0.95438596491228,0.910852570021544,13.815510557964274,20,9130,1.0
internacional,Thiago Maia,28.0,5.0,1.79,4000000,5000000.0,57.0,1.25,5.0,6.8,1,-0.95438596491228,0.910852570021544,15.424948470398377,20,9130,1.0
