Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_MC,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
fluminense,Ganso,35.0,7.0,1.84,0,400000.0,44.0,1.92,3.0,-0.2,1,6.04561403508772,36.549449061249625,12.89921982609012,9,16138,0.0
fortaleza,Lucas Sasha,35.0,5.0,1.77,0,250000.0,83.0,0.94,-5.0,-2.1,1,6.04561403508772,36.549449061249625,12.429216196844385,10,14121,0.0
fortaleza,Rodrigo Santos,24.0,5.0,1.78,600000000,0.0,13.0,0.0,0.0,0.0,1,-4.95438596491228,24.545940289319784,,10,14121,
fortaleza,Matheus Rossetto,29.0,6.0,1.8,0,1500000.0,64.0,0.9,-5.0,0.5,1,0.0456140350877198,0.0020806401969837,14.22097566607244,10,14121,0.0
fortaleza,Pablo Roberto,25.0,6.0,1.83,1000000,800000.0,45.0,0.0,-1.0,0.8,1,-3.95438596491228,15.637168359495226,13.592367006650065,10,14121,0.0
fortaleza,Kervin Andrade,20.0,7.0,1.63,600000000,1500000.0,23.0,0.88,3.0,2.0,1,-8.95438596491228,80.18102800861803,14.22097566607244,10,14121,0.0
gremio,Gustavo Cuéllar,32.0,5.0,1.76,0,2500000.0,62.0,2.0,1.0,0.8,1,3.04561403508772,9.275764850723304,14.73180128983843,11,13966,1.0
gremio,Camilo,26.0,5.0,1.76,1000000,1200000.0,51.0,0.92,-5.0,-5.7,1,-2.95438596491228,8.728396429670665,13.997832114758229,11,13966,0.0
gremio,Dodi,29.0,5.0,1.69,915000000,700000.0,78.0,1.25,3.0,-0.9,1,0.0456140350877198,0.0020806401969837,13.458835614025542,11,13966,0.0
gremio,Edenilson,35.0,6.0,1.75,0,600000.0,52.0,1.07,-1.0,-5.1,1,6.04561403508772,36.549449061249625,13.304684934198283,11,13966,0.0
gremio,Franco Cristaldo,29.0,7.0,1.75,4000000,7000000.0,51.0,1.0,-4.0,-2.5,1,0.0456140350877198,0.0020806401969837,15.761420707019589,11,13966,2.0
gremio,Miguel Monsalve,21.0,7.0,1.78,2300000,6000000.0,37.0,0.75,-2.0,-1.7,1,-7.95438596491228,63.27225607879347,15.60727002719233,11,13966,2.0
juventude,Daniel Giraldo,33.0,5.0,1.78,0,450000.0,51.0,1.17,-7.0,-2.9,1,4.04561403508772,16.366992920898742,13.017002861746503,12,14238,0.0
juventude,Jádson,31.0,6.0,1.71,0,1000000.0,90.0,0.95,-21.0,-17.1,1,2.04561403508772,4.184536780547863,13.815510557964274,12,14238,0.0
